code,units,body,helpers,early,day,night,deep,is_increase,content
160306,"1,121",あり,2,0,0,0,4.5,TRUE,身体あり深夜増4．5・２人
160307,"1,245",あり,1,0,0,0,5,TRUE,身体あり深夜増5．0
160308,"1,245",あり,2,0,0,0,5,TRUE,身体あり深夜増5．0・２人
160309,"1,370",あり,1,0,0,0,5.5,TRUE,身体あり深夜増5．5
160310,"1,370",あり,2,0,0,0,5.5,TRUE,身体あり深夜増5．5・２人
160311,"1,494",あり,1,0,0,0,6,TRUE,身体あり深夜増6.0
160312,"1,494",あり,2,0,0,0,6,TRUE,身体あり深夜増6.0・２人
160313,"1,619",あり,1,0,0,0,6.5,TRUE,身体あり深夜増6.5
160314,"1,619",あり,2,0,0,0,6.5,TRUE,身体あり深夜増6.5・２人
161001,106,なし,1,0,0.5,0,0,FALSE,身体介護なし日中０．５
161002,106,なし,2,0,0.5,0,0,FALSE,身体介護なし日中０．５・２人
161003,197,なし,1,0,1,0,0,FALSE,身体介護なし日中１．０
161004,197,なし,2,0,1,0,0,FALSE,身体介護なし日中１．０・２人
161005,275,なし,1,0,1.5,0,0,FALSE,身体介護なし日中１．５
161006,275,なし,2,0,1.5,0,0,FALSE,身体介護なし日中１．５・２人
161007,345,なし,1,0,2,0,0,FALSE,身体介護なし日中２．０
161008,345,なし,2,0,2,0,0,FALSE,身体介護なし日中２．０・２人
161009,414,なし,1,0,2.5,0,0,FALSE,身体介護なし日中２．５
161010,414,なし,2,0,2.5,0,0,FALSE,身体介護なし日中２．５・２人
161011,483,なし,1,0,3,0,0,FALSE,身体介護なし日中３．０
161012,483,なし,2,0,3,0,0,FALSE,身体介護なし日中３．０・２人
161013,552,なし,1,0,3.5,0,0,FALSE,身体介護なし日中３．５
161014,552,なし,2,0,3.5,0,0,FALSE,身体介護なし日中３．５・２人
161015,621,なし,1,0,4,0,0,FALSE,身体介護なし日中４．０
161016,621,なし,2,0,4,0,0,FALSE,身体介護なし日中４．０・２人
161017,690,なし,1,0,4.5,0,0,FALSE,身体介護なし日中４．５
161018,690,なし,2,0,4.5,0,0,FALSE,身体介護なし日中４．５・２人
161019,759,なし,1,0,5,0,0,FALSE,身体介護なし日中５．０
161020,759,なし,2,0,5,0,0,FALSE,身体介護なし日中５．０・２人
161021,828,なし,1,0,5.5,0,0,FALSE,身体介護なし日中５．５
161022,828,なし,2,0,5.5,0,0,FALSE,身体介護なし日中５．５・２人
161023,897,なし,1,0,6,0,0,FALSE,身体介護なし日中６．０
161024,897,なし,2,0,6,0,0,FALSE,身体介護なし日中６．０・２人
161025,966,なし,1,0,6.5,0,0,FALSE,身体介護なし日中６．５
161026,966,なし,2,0,6.5,0,0,FALSE,身体介護なし日中６．５・２人
161027,1035,なし,1,0,7,0,0,FALSE,身体介護なし日中７．０
161028,1035,なし,2,0,7,0,0,FALSE,身体介護なし日中７．０・２人
161029,1104,なし,1,0,7.5,0,0,FALSE,身体介護なし日中７．５
161030,1104,なし,2,0,7.5,0,0,FALSE,身体介護なし日中７．５・２人
161031,1173,なし,1,0,8,0,0,FALSE,身体介護なし日中８．０
161032,1173,なし,2,0,8,0,0,FALSE,身体介護なし日中８．０・２人
161033,1242,なし,1,0,8.5,0,0,FALSE,身体介護なし日中８．５
161034,1242,なし,2,0,8.5,0,0,FALSE,身体介護なし日中８．５・２人
161035,1311,なし,1,0,9,0,0,FALSE,身体介護なし日中９．０
161036,1311,なし,2,0,9,0,0,FALSE,身体介護なし日中９．０・２人
161037,1380,なし,1,0,9.5,0,0,FALSE,身体介護なし日中９．５
161038,1380,なし,2,0,9.5,0,0,FALSE,身体介護なし日中９．５・２人
161039,1449,なし,1,0,10,0,0,FALSE,身体介護なし日中１０．０
161040,1449,なし,2,0,10,0,0,FALSE,身体介護なし日中１０．０・２人
161041,1518,なし,1,0,10.5,0,0,FALSE,身体介護なし日中１０．５
161042,1518,なし,2,0,10.5,0,0,FALSE,身体介護なし日中１０．５・２人
161043,133,なし,1,0.5,0,0,0,FALSE,身体介護なし早朝０．５
161044,133,なし,2,0.5,0,0,0,FALSE,身体介護なし早朝０．５・２人
161045,246,なし,1,1,0,0,0,FALSE,身体介護なし早朝１．０
161046,246,なし,2,1,0,0,0,FALSE,身体介護なし早朝１．０・２人
161047,344,なし,1,1.5,0,0,0,FALSE,身体介護なし早朝１．５
161048,344,なし,2,1.5,0,0,0,FALSE,身体介護なし早朝１．５・２人
161049,431,なし,1,2,0,0,0,FALSE,身体介護なし早朝２．０
161050,431,なし,2,2,0,0,0,FALSE,身体介護なし早朝２．０・２人
161051,518,なし,1,2.5,0,0,0,FALSE,身体介護なし早朝２．５
161052,518,なし,2,2.5,0,0,0,FALSE,身体介護なし早朝２．５・２人
161053,133,なし,1,0,0,0.5,0,FALSE,身体介護なし夜間０．５
161054,133,なし,2,0,0,0.5,0,FALSE,身体介護なし夜間０．５・２人
161055,246,なし,1,0,0,1,0,FALSE,身体介護なし夜間１．０
161056,246,なし,2,0,0,1,0,FALSE,身体介護なし夜間１．０・２人
161057,344,なし,1,0,0,1.5,0,FALSE,身体介護なし夜間１．５
161058,344,なし,2,0,0,1.5,0,FALSE,身体介護なし夜間１．５・２人
161059,431,なし,1,0,0,2,0,FALSE,身体介護なし夜間２．０
161060,431,なし,2,0,0,2,0,FALSE,身体介護なし夜間２．０・２人
161061,518,なし,1,0,0,2.5,0,FALSE,身体介護なし夜間２．５
161062,518,なし,2,0,0,2.5,0,FALSE,身体介護なし夜間２．５・２人
161063,604,なし,1,0,0,3,0,FALSE,身体介護なし夜間３．０
161064,604,なし,2,0,0,3,0,FALSE,身体介護なし夜間３．０・２人
161065,690,なし,1,0,0,3.5,0,FALSE,身体介護なし夜間３．５
161066,690,なし,2,0,0,3.5,0,FALSE,身体介護なし夜間３．５・２人
161067,776,なし,1,0,0,4,0,FALSE,身体介護なし夜間４．０
161068,776,なし,2,0,0,4,0,FALSE,身体介護なし夜間４．０・２人
161069,863,なし,1,0,0,4.5,0,FALSE,身体介護なし夜間４．５
161070,863,なし,2,0,0,4.5,0,FALSE,身体介護なし夜間４．５・２人
161071,159,なし,1,0,0,0,0.5,FALSE,身体介護なし深夜０．５
